id,score,reused_nodes,multiple_output_functions,largest_information_function,global_code_volume
s34,4,1.0,0.0,8.0,5.0
s33,3,0.0,0.0,11.0,5.0
s5,3,0.0,0.0,8.0,5.0
s2,2,0.0,1.0,8.0,5.0
s32,2,0.0,0.0,17.0,5.0
s35,3,0.0,0.0,9.0,5.0
s3,2,0.0,1.0,8.0,5.0
sX,2,0.0,0.0,26.0,5.0
s4,2,0.0,3.0,9.0,5.0
s44,3,0.0,0.0,8.0,5.0
s43,3,0.0,0.0,11.0,5.0
s26,0,0.0,3.0,13.0,11.0
s19,3,1.0,0.0,14.0,5.0
s21,0,1.0,0.0,12.0,45.0
s17,3,0.0,0.0,8.0,5.0
s28,3,0.0,0.0,8.0,5.0
s10,2,0.0,1.0,8.0,5.0
s42,4,1.0,0.0,8.0,5.0
s11,3,0.0,0.0,8.0,5.0
s16,2,0.0,0.0,24.0,5.0
s29,3,0.0,0.0,9.0,7.0
s20,2,0.0,1.0,8.0,5.0
s27,2,0.0,0.0,15.0,5.0
s18,3,0.0,0.0,9.0,5.0
s8,2,0.0,0.0,27.0,5.0
s1,2,0.0,1.0,9.0,5.0
s6,2,0.0,1.0,11.0,5.0
s39,3,0.0,0.0,11.0,5.0
s30,2,0.0,1.0,8.0,5.0
s37,3,0.0,0.0,10.0,5.0
s7,2,0.0,0.0,14.0,5.0
s9,4,1.0,0.0,12.0,5.0
s36,2,0.0,1.0,8.0,5.0
s31,2,0.0,0.0,29.0,5.0
s38,3,0.0,0.0,9.0,5.0
s22,3,0.0,0.0,9.0,5.0
s25,2,0.0,1.0,8.0,5.0
s13,2,0.0,1.0,8.0,5.0
s14,0,1.0,0.0,6.0,45.0
s40,3,0.0,0.0,11.0,5.0
s15,3,0.0,0.0,8.0,5.0
s12,3,0.0,0.0,9.0,5.0
s24,4,1.0,0.0,8.0,5.0
s23,3,0.0,0.0,10.0,5.0
s41,3,0.0,0.0,10.0,5.0
solution,1,1.0,0.0,8.0,5.0
