id,score,reused_nodes,multiple_output_functions,largest_information_function,global_code_volume
s34,3,0.0,0.0,7.0,5.0
s33,3,0.0,0.0,7.0,5.0
s5,3,0.0,0.0,7.0,5.0
s2,3,0.0,0.0,7.0,5.0
s32,3,0.0,0.0,7.0,5.0
s35,2,0.0,0.0,12.0,5.0
s3,3,0.0,0.0,5.0,5.0
s4,4,2.0,0.0,4.0,5.0
s44,3,0.0,0.0,8.0,5.0
s43,3,0.0,0.0,7.0,5.0
s26,0,1.0,0.0,5.0,17.0
s19,2,0.0,0.0,12.0,5.0
s21,3,0.0,0.0,5.0,5.0
s17,3,0.0,0.0,7.0,5.0
s28,3,0.0,0.0,7.0,5.0
s10,3,0.0,0.0,9.0,5.0
s42,3,0.0,0.0,7.0,5.0
s11,3,0.0,0.0,7.0,5.0
s16,3,0.0,0.0,7.0,5.0
s29,4,1.0,0.0,5.0,5.0
s20,3,0.0,0.0,7.0,5.0
s27,3,0.0,0.0,6.0,5.0
s18,4,1.0,0.0,5.0,5.0
s8,3,0.0,0.0,7.0,5.0
s1,3,0.0,0.0,7.0,5.0
s6,3,0.0,0.0,7.0,5.0
s39,2,0.0,0.0,12.0,5.0
s30,3,0.0,0.0,7.0,5.0
s37,3,0.0,0.0,7.0,5.0
s9,3,0.0,0.0,7.0,7.0
s36,2,0.0,0.0,12.0,5.0
s31,2,0.0,0.0,10.0,5.0
s38,3,0.0,0.0,7.0,5.0
s22,3,0.0,0.0,7.0,5.0
s25,2,0.0,0.0,12.0,5.0
s13,3,0.0,0.0,7.0,5.0
s14,4,2.0,0.0,5.0,5.0
s40,2,0.0,0.0,10.0,5.0
s15,2,0.0,0.0,12.0,5.0
s12,3,0.0,0.0,7.0,5.0
s24,4,1.0,0.0,5.0,5.0
s23,3,0.0,0.0,6.0,5.0
s41,4,1.0,0.0,9.0,5.0
solution,1,1.0,0.0,6.0,5.0
